Error at Line 3, Column 15: Expecting EXPRESSION
Error at Line 6, Column 44: Fraction format requires ')'
Error at Line 7, Column 5: No Valid FACTOR
Error at Line 8, Column 6: Fraction format requires ')'
Error at Line 9, Column 4: Fraction format requires '('
Error at Line 10, Column 14: Expecting EXPRESSION
Error at Line 11, Column 9: Expecting ')'
Error at Line 12, Column 4: Additional input after expression
Error at Line 13, Column 7: Expecting ')'
Error at Line 14, Column 7: Expecting ')'
Error at Line 15, Column 3: No Valid FACTOR
Error at Line 16, Column 12: No Valid FACTOR
Error at Line 17, Column 11: No Valid FACTOR
